| name                                               | title                                                 | level | facing   | categories   | description                                                                                                                                                                                                                                                                              | detail                                                                                                                                                                                                                                                                                                                                                          | remediation                                                                                                            | metadata                                                                                                                                                                                                                                       | cache_key                                                                                                                                                                             |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.refund_requests` has an RLS policy `refund all access` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for anon, authenticated.                                                                                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"refund_requests","qual":"true","type":"table","roles":["anon","authenticated"],"schema":"public","command":"ALL","with_check":"true","policy_name":"refund all access","permissive_using":true,"permissive_with_check":true}          | rls_policy_always_true_public_refund_requests_refund all access                                                                                                                       |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.refund_requests` has an RLS policy `refund_all` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                                                                                                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"refund_requests","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":"true","policy_name":"refund_all","permissive_using":true,"permissive_with_check":true}                                    | rls_policy_always_true_public_refund_requests_refund_all                                                                                                                              |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.security_limits` has an RLS policy `Allow update limits` for `UPDATE` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                                                                                                                            | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"security_limits","qual":"true","type":"table","roles":["-"],"schema":"public","command":"UPDATE","with_check":null,"policy_name":"Allow update limits","permissive_using":true,"permissive_with_check":true}                          | rls_policy_always_true_public_security_limits_Allow update limits                                                                                                                     |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.sms_log` has an RLS policy `sms_log anon insert` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for anon.                                                                                                                                                          | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"sms_log","qual":null,"type":"table","roles":["anon"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"sms_log anon insert","permissive_using":false,"permissive_with_check":true}                              | rls_policy_always_true_public_sms_log_sms_log anon insert                                                                                                                             |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.sms_log` has an RLS policy `sms_log update all` for `UPDATE` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for anon, authenticated.                                                                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"sms_log","qual":"true","type":"table","roles":["anon","authenticated"],"schema":"public","command":"UPDATE","with_check":"true","policy_name":"sms_log update all","permissive_using":true,"permissive_with_check":true}              | rls_policy_always_true_public_sms_log_sms_log update all                                                                                                                              |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.system_settings` has an RLS policy `public_insert_settings` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.                                                                                                                                                  | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"system_settings","qual":null,"type":"table","roles":["-"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"public_insert_settings","permissive_using":false,"permissive_with_check":true}                      | rls_policy_always_true_public_system_settings_public_insert_settings                                                                                                                  |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.system_settings` has an RLS policy `public_update_settings` for `UPDATE` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                                                                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"system_settings","qual":"true","type":"table","roles":["-"],"schema":"public","command":"UPDATE","with_check":null,"policy_name":"public_update_settings","permissive_using":true,"permissive_with_check":true}                       | rls_policy_always_true_public_system_settings_public_update_settings                                                                                                                  |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.transaction_audit` has an RLS policy `Allow insert audit` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.                                                                                                                                                    | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"transaction_audit","qual":null,"type":"table","roles":["-"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"Allow insert audit","permissive_using":false,"permissive_with_check":true}                        | rls_policy_always_true_public_transaction_audit_Allow insert audit                                                                                                                    |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.transactions` has an RLS policy `tx all access` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for anon, authenticated.                                                                                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"transactions","qual":"true","type":"table","roles":["anon","authenticated"],"schema":"public","command":"ALL","with_check":"true","policy_name":"tx all access","permissive_using":true,"permissive_with_check":true}                 | rls_policy_always_true_public_transactions_tx all access                                                                                                                              |
| rls_policy_always_true                             | RLS Policy Always True                                | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.user_preferences` has an RLS policy `Admin can update all preferences` for `UPDATE` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                                                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                              | {"name":"user_preferences","qual":"true","type":"table","roles":["-"],"schema":"public","command":"UPDATE","with_check":null,"policy_name":"Admin can update all preferences","permissive_using":true,"permissive_with_check":true}            | rls_policy_always_true_public_user_preferences_Admin can update all preferences                                                                                                       |
